0-3;1-3;2-3,2->100->117,196114599
0-3;1-3;2-3,2->100->118,45269952
0-3;1-3;2-3,3->100->117,702607033
0-3;1-3;2-3,2->100->119,89303280
0-3;1-3;2-3,3->100->118,126879863
0-3;1-3;2-3,3->100->119,294306496
0-3;1-3;2-3,2->100->120,8913901
0-3;1-3;2-3,3->100->120,25059435
0-3;1-3;2-3,2->100->121,9307790
0-3;1-3;2-3,3->100->121,27890495
0-3;1-3;2-3,2->100->122,199603908
0-3;1-3;2-3,3->100->122,800065222
0-3;1-3;2-3,2->100->123,17743436
0-3;1-3;2-3,3->100->123,54134856
0-3;1-3;2-3,2->100->124,5524425
0-3;1-3;2-3,3->100->124,16575389
0-3;1-3;2-3,2->100->125,8001734
0-3;1-3;2-3,3->100->125,23620758
0-3;1-3;2-3,2->100->126,8150602
0-3;1-3;2-3,2->100->127,5808511
0-3;1-3;2-3,3->100->126,23443147
0-3;1-3;2-3,3->100->127,17933239
