0-1;1-2;1-3,117->86->53,388503
0-1;1-2;1-3,117->65->76,537472
0-1;1-2;1-3,119->42->97,5756
0-1;1-2;1-3,119->93->48,47140
0-1;1-2;1-3,122->73->66,517581
0-1;1-2;1-3,119->67->76,196025
0-1;1-2;1-3,117->76->69,540166
0-1;1-2;1-3,122->78->73,520176
0-1;1-2;1-3,122->78->76,520763
0-1;1-2;1-3,122->88->69,184044
0-1;1-2;1-3,122->73->85,520076
0-1;1-2;1-3,122->74->85,479911
0-1;1-2;1-3,2->13->11,476342
0-1;1-2;1-3,122->95->68,95405
0-1;1-2;1-3,122->85->80,501062
0-1;1-2;1-3,2->22->8,3034274
0-1;1-2;1-3,2->18->17,1041500
0-1;1-2;1-3,3->21->17,628319
0-1;1-2;1-3,2->21->39,88876
0-1;1-2;1-3,3->52->9,368140
0-1;1-2;1-3,2->39->24,30018
0-1;1-2;1-3,2->8->64,86880
0-1;1-2;1-3,3->23->63,3191617
0-1;1-2;1-3,3->51->43,1803986
0-1;1-2;1-3,3->54->51,69732501
0-1;1-2;1-3,2->39->74,7272
0-1;1-2;1-3,3->59->65,474729
0-1;1-2;1-3,2->58->76,55667
0-1;1-2;1-3,100->12->25,4427036
0-1;1-2;1-3,2->59->83,55527
0-1;1-2;1-3,122->5->21,54773966
0-1;1-2;1-3,117->24->8,2721846
0-1;1-2;1-3,123->21->5,2730148
0-1;1-2;1-3,117->25->9,234857
0-1;1-2;1-3,121->9->21,100358
0-1;1-2;1-3,2->68->81,51511
0-1;1-2;1-3,2->85->64,55920
0-1;1-2;1-3,2->78->72,55995
0-1;1-2;1-3,118->8->26,1464061
0-1;1-2;1-3,121->6->25,13977
0-1;1-2;1-3,100->42->11,456678
0-1;1-2;1-3,122->11->23,18073540
0-1;1-2;1-3,100->15->46,703885
0-1;1-2;1-3,100->13->49,298258
0-1;1-2;1-3,100->57->7,816445
0-1;1-2;1-3,125->25->17,8137
0-1;1-2;1-3,119->43->5,3388552
0-1;1-2;1-3,123->6->39,69453
0-1;1-2;1-3,122->43->8,2447736
0-1;1-2;1-3,117->8->48,2151704
0-1;1-2;1-3,100->14->61,474048
0-1;1-2;1-3,125->7->44,18919
0-1;1-2;1-3,119->11->46,27343
0-1;1-2;1-3,119->40->18,40888742
0-1;1-2;1-3,123->9->46,5819
0-1;1-2;1-3,100->22->57,1499043
0-1;1-2;1-3,122->42->15,612552
0-1;1-2;1-3,123->51->5,9208388
0-1;1-2;1-3,117->23->40,172877211
0-1;1-2;1-3,122->13->46,41056
0-1;1-2;1-3,123->13->45,9946
0-1;1-2;1-3,125->45->12,26101
0-1;1-2;1-3,100->68->15,4854542
0-1;1-2;1-3,117->48->19,232380
0-1;1-2;1-3,117->25->48,45349
0-1;1-2;1-3,122->52->16,871205
0-1;1-2;1-3,100->69->26,1488627
0-1;1-2;1-3,117->67->11,452375
0-1;1-2;1-3,117->73->5,4121389
0-1;1-2;1-3,121->14->63,7611
0-1;1-2;1-3,100->86->12,18031676
0-1;1-2;1-3,100->49->51,2644843
0-1;1-2;1-3,126->53->22,77219
0-1;1-2;1-3,127->7->68,6506
0-1;1-2;1-3,127->6->73,4935
0-1;1-2;1-3,122->8->76,1087508
0-1;1-2;1-3,117->14->76,197662
0-1;1-2;1-3,119->76->13,88584
0-1;1-2;1-3,117->43->54,4839051
0-1;1-2;1-3,127->66->22,13465
0-1;1-2;1-3,117->88->10,77967
0-1;1-2;1-3,118->54->44,735377
0-1;1-2;1-3,122->15->80,1495321
0-1;1-2;1-3,117->48->53,1119576
0-1;1-2;1-3,117->85->16,197207
0-1;1-2;1-3,100->77->42,18555
0-1;1-2;1-3,122->83->15,1528553
0-1;1-2;1-3,100->64->56,2326871
0-1;1-2;1-3,119->44->58,28749
0-1;1-2;1-3,100->68->58,2183860
0-1;1-2;1-3,125->10->97,1942
0-1;1-2;1-3,100->80->53,1020174
0-1;1-2;1-3,122->76->40,4374092
0-1;1-2;1-3,118->56->65,55838
0-1;1-2;1-3,122->43->78,343700
0-1;1-2;1-3,122->74->48,131315
0-1;1-2;1-3,119->87->39,52547
0-1;1-2;1-3,119->44->83,28769
0-1;1-2;1-3,122->50->75,35976
0-1;1-2;1-3,117->77->54,341996
