0-2;1-2;2-3,100->2->24,2999378
0-2;1-2;2-3,100->118->39,5357001
0-2;1-2;2-3,100->122->40,903157231
0-2;1-2;2-3,100->120->44,796975
0-2;1-2;2-3,100->121->44,954645
0-2;1-2;2-3,100->118->50,1150308
0-2;1-2;2-3,100->117->51,431561188
0-2;1-2;2-3,100->2->38,1347578
0-2;1-2;2-3,100->121->49,272690
0-2;1-2;2-3,100->117->53,106065375
0-2;1-2;2-3,100->118->53,17148174
0-2;1-2;2-3,100->123->48,1950007
0-2;1-2;2-3,100->117->56,18621896
0-2;1-2;2-3,100->2->43,3001527
0-2;1-2;2-3,100->124->51,10035604
0-2;1-2;2-3,100->3->45,1896663
0-2;1-2;2-3,100->126->50,102025
0-2;1-2;2-3,100->126->51,11116100
0-2;1-2;2-3,100->124->53,2421181
0-2;1-2;2-3,100->125->52,1836919
0-2;1-2;2-3,100->118->60,1893979
0-2;1-2;2-3,100->126->52,1716726
0-2;1-2;2-3,100->118->65,1920361
0-2;1-2;2-3,100->2->54,59231284
0-2;1-2;2-3,100->124->60,373465
0-2;1-2;2-3,100->123->63,1328455
0-2;1-2;2-3,100->123->64,1395999
0-2;1-2;2-3,100->120->67,552942
0-2;1-2;2-3,100->126->63,485750
0-2;1-2;2-3,100->125->64,525477
0-2;1-2;2-3,100->126->64,510051
0-2;1-2;2-3,100->3->59,8916261
0-2;1-2;2-3,100->127->63,406659
0-2;1-2;2-3,100->119->71,6779944
0-2;1-2;2-3,100->2->62,1041449
0-2;1-2;2-3,100->122->70,13888931
0-2;1-2;2-3,100->3->62,8396283
0-2;1-2;2-3,100->124->69,381014
0-2;1-2;2-3,100->121->73,684153
0-2;1-2;2-3,100->2->65,1110234
0-2;1-2;2-3,100->119->76,6780472
0-2;1-2;2-3,100->123->72,1395160
0-2;1-2;2-3,100->122->73,13863323
0-2;1-2;2-3,100->124->73,762436
0-2;1-2;2-3,100->2->67,2247022
0-2;1-2;2-3,100->118->79,1942208
0-2;1-2;2-3,100->125->73,516574
0-2;1-2;2-3,100->3->69,9004047
0-2;1-2;2-3,100->124->76,382787
0-2;1-2;2-3,100->118->83,1943144
0-2;1-2;2-3,100->123->78,1395492
0-2;1-2;2-3,100->3->71,9074967
0-2;1-2;2-3,100->127->76,424479
0-2;1-2;2-3,100->122->81,13810945
0-2;1-2;2-3,100->127->77,34468
0-2;1-2;2-3,100->122->83,13889151
0-2;1-2;2-3,100->119->86,6560051
0-2;1-2;2-3,100->117->89,6448967
0-2;1-2;2-3,100->3->75,8442997
0-2;1-2;2-3,100->119->88,1626651
0-2;1-2;2-3,100->123->85,1393810
0-2;1-2;2-3,100->120->88,131512
0-2;1-2;2-3,100->123->86,2706010
0-2;1-2;2-3,100->121->88,174781
0-2;1-2;2-3,100->2->79,1125719
0-2;1-2;2-3,100->3->81,8981658
0-2;1-2;2-3,100->126->86,493886
0-2;1-2;2-3,100->2->83,1126330
0-2;1-2;2-3,100->120->95,48289
0-2;1-2;2-3,100->127->89,134641
0-2;1-2;2-3,100->2->89,317598
0-2;1-2;2-3,100->3->95,920258
0-2;1-2;2-3,100->117->8,369784848
0-2;1-2;2-3,100->118->9,17115279
0-2;1-2;2-3,100->121->6,4105957
0-2;1-2;2-3,100->117->13,97050414
0-2;1-2;2-3,100->124->6,1881468
0-2;1-2;2-3,100->120->12,31116030
0-2;1-2;2-3,100->127->5,30828853
0-2;1-2;2-3,100->117->17,71232874
0-2;1-2;2-3,100->127->7,2769663
0-2;1-2;2-3,100->123->13,9605720
0-2;1-2;2-3,100->118->19,5850869
0-2;1-2;2-3,100->2->10,9217095
0-2;1-2;2-3,100->121->19,1373892
0-2;1-2;2-3,100->3->10,33846197
0-2;1-2;2-3,100->120->22,9299017
0-2;1-2;2-3,100->2->12,88253833
0-2;1-2;2-3,100->119->23,281626100
0-2;1-2;2-3,100->3->12,455239507
0-2;1-2;2-3,100->122->21,174791757
0-2;1-2;2-3,100->118->26,17286893
0-2;1-2;2-3,100->2->15,29323654
0-2;1-2;2-3,100->119->26,45102924
0-2;1-2;2-3,100->126->19,1192300
0-2;1-2;2-3,100->121->25,319320
