0-1;0-2;1-2;1-3;2-3,45177->45177->45177->45177->45177,9905390
0-1;0-2;1-2;1-3;2-3,45177->45177->45177->45160->45160,751270
0-1;0-2;1-2;1-3;2-3,45160->45177->45177->45160->45177,541974
0-1;0-2;1-2;1-3;2-3,45160->45160->45160->45176->45176,1408975
0-1;0-2;1-2;1-3;2-3,45160->45160->45160->45177->45177,1494541
0-1;0-2;1-2;1-3;2-3,45160->45160->45177->45160->45177,79233
0-1;0-2;1-2;1-3;2-3,45173->45173->45177->45159->45159,4341
0-1;0-2;1-2;1-3;2-3,45177->45177->45177->45180->45180,647633
0-1;0-2;1-2;1-3;2-3,45173->45173->45173->45180->45180,9073
0-1;0-2;1-2;1-3;2-3,45161->45161->45161->45161->45161,86557
0-1;0-2;1-2;1-3;2-3,45166->45167->45177->45177->45177,44740
0-1;0-2;1-2;1-3;2-3,45160->45160->45160->45159->45159,11187789
0-1;0-2;1-2;1-3;2-3,45161->45166->45166->45167->45177,4342
0-1;0-2;1-2;1-3;2-3,45178->45178->45177->45177->45177,868411
0-1;0-2;1-2;1-3;2-3,45160->45177->45177->45177->45177,1685673
0-1;0-2;1-2;1-3;2-3,45177->45177->45177->45176->45176,391840
0-1;0-2;1-2;1-3;2-3,45177->45177->45177->45177->45160,553690
0-1;0-2;1-2;1-3;2-3,45177->45177->45177->45159->45159,3896085
0-1;0-2;1-2;1-3;2-3,45160->45160->45160->45180->45180,4093820
0-1;0-2;1-2;1-3;2-3,45173->45173->45173->45159->45159,121160
0-1;0-2;1-2;1-3;2-3,45160->45173->45177->45159->45159,4285
0-1;0-2;1-2;1-3;2-3,45160->45160->45160->45160->45160,18517392
0-1;0-2;1-2;1-3;2-3,45173->45173->45173->45173->45173,1798841
0-1;0-2;1-2;1-3;2-3,45177->45177->45160->45160->45160,529384
0-1;0-2;1-2;1-3;2-3,45160->45160->45177->45159->45159,653167
