0-1;0-2;1-3;2-3;3-4;3-5;4-5,45173->45173->45173->45173->45177->45177->45177,538194147
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45173->45173->45173->45173->45160->45176->45176,55058729
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45177->45177->45177->45177->45177->45159->45159,13853146067
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45173->45173->45173->45173->45173->45173->45173,1394165131
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45160->45160->45160->45160->45177->45177->45177,12312266632
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45177->45177->45177->45177->45160->45159->45159,21328099050
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45173->45173->45173->45173->45177->45159->45159,155118343
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45173->45173->45160->45160->45160->45180->45180,404854035
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45173->45173->45173->45173->45173->45159->45159,160980878
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45173->45173->45177->45177->45177->45177->45177,555401230
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45173->45173->45177->45177->45177->45159->45159,201483012
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45160->45160->45160->45160->45173->45173->45173,852084858
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45173->45173->45177->45177->45177->45177->45160,26890350
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45173->45173->45177->45177->45160->45180->45180,76174401
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45160->45160->45173->45173->45173->45159->45159,15927728
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45160->45160->45160->45160->45160->45177->45177,22086455870
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45173->45173->45160->45160->45160->45159->45159,1692416991
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45160->45160->45173->45173->45173->45176->45176,3308280
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45160->45160->45160->45160->45160->45159->45159,62026340164
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45160->45160->45177->45177->45177->45177->45177,10460773602
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45173->45173->45160->45160->45177->45177->45177,159165547
0-1;0-2;1-3;2-3;3-4;3-5;4-5,45160->45160->45177->45177->45177->45177->45160,505352059
