0-1;0-2;1-3;2-3,45173->45173->45173->45173,8883686
0-1;0-2;1-3;2-3,45160->45160->45177->45177,28005739
0-1;0-2;1-3;2-3,45177->45177->45159->45159,67641440
0-1;0-2;1-3;2-3,45173->45173->45180->45180,413579
0-1;0-2;1-3;2-3,45173->45173->45174->45174,619283
0-1;0-2;1-3;2-3,45173->45173->45177->45177,1519659
0-1;0-2;1-3;2-3,45166->45166->45159->45159,2709093
0-1;0-2;1-3;2-3,45166->45166->45180->45180,679013
0-1;0-2;1-3;2-3,45175->45175->45181->45181,456317
0-1;0-2;1-3;2-3,45160->45160->45180->45180,19578670
0-1;0-2;1-3;2-3,45160->45160->45176->45176,11600908
0-1;0-2;1-3;2-3,45177->45177->45180->45180,10361458
0-1;0-2;1-3;2-3,45173->45173->45159->45159,3462737
0-1;0-2;1-3;2-3,45160->45160->45159->45159,81202856
0-1;0-2;1-3;2-3,45160->45160->45160->45160,72256562
0-1;0-2;1-3;2-3,45177->45177->45174->45174,7947891
0-1;0-2;1-3;2-3,45173->45173->45160->45160,614328
0-1;0-2;1-3;2-3,45177->45177->45177->45177,104976036
