0-1;1-2;2-3;3-4;4-5;5-0,45173->45173->45177->45177->45177->45160,67820735
0-1;1-2;2-3;3-4;4-5;5-0,45173->45173->45173->45177->45160->45160,53212786
0-1;1-2;2-3;3-4;4-5;5-0,45160->45160->45177->45177->45177->45173,225856827
0-1;1-2;2-3;3-4;4-5;5-0,45177->45177->45160->45173->45173->45177,67820735
0-1;1-2;2-3;3-4;4-5;5-0,45177->45173->45160->45160->45177->45177,225856827
0-1;1-2;2-3;3-4;4-5;5-0,45173->45160->45160->45160->45160->45160,62108096
0-1;1-2;2-3;3-4;4-5;5-0,45160->45173->45173->45177->45160->45160,78665633
0-1;1-2;2-3;3-4;4-5;5-0,45160->45160->45173->45177->45177->45160,216660617
0-1;1-2;2-3;3-4;4-5;5-0,45173->45160->45160->45173->45160->45160,18256995
0-1;1-2;2-3;3-4;4-5;5-0,45173->45173->45177->45177->45173->45173,13429625
0-1;1-2;2-3;3-4;4-5;5-0,45173->45177->45177->45177->45177->45160,202983473
0-1;1-2;2-3;3-4;4-5;5-0,45160->45173->45173->45177->45177->45177,67820735
0-1;1-2;2-3;3-4;4-5;5-0,45173->45160->45173->45177->45177->45160,2084985
0-1;1-2;2-3;3-4;4-5;5-0,45173->45177->45177->45177->45160->45160,574254193
0-1;1-2;2-3;3-4;4-5;5-0,45173->45177->45160->45177->45160->45160,118236268
0-1;1-2;2-3;3-4;4-5;5-0,45173->45160->45160->45160->45177->45173,25371403
0-1;1-2;2-3;3-4;4-5;5-0,45177->45160->45160->45177->45173->45173,47520223
0-1;1-2;2-3;3-4;4-5;5-0,45173->45160->45160->45160->45177->45160,35934282
0-1;1-2;2-3;3-4;4-5;5-0,45160->45160->45160->45173->45173->45177,78665633
0-1;1-2;2-3;3-4;4-5;5-0,45173->45160->45177->45177->45177->45160,64994709
0-1;1-2;2-3;3-4;4-5;5-0,45177->45177->45177->45160->45160->45173,574254193
0-1;1-2;2-3;3-4;4-5;5-0,45177->45173->45173->45177->45160->45160,47520223
0-1;1-2;2-3;3-4;4-5;5-0,45160->45160->45173->45173->45173->45177,53212786
0-1;1-2;2-3;3-4;4-5;5-0,45173->45173->45160->45177->45177->45173,10570544
0-1;1-2;2-3;3-4;4-5;5-0,45177->45177->45177->45177->45177->45173,543398213
