0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45177->45167->45172->45182->45180->45174->45160->45159,1022998718316793
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45177->45182->45172->45171->45160->45176->45173->45159,17805567246369
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45166->45182->45172->45171->45159->45174->45173->45176,198693500596
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45166->45162->45160->45167->45159->45176->45177->45173,459245671771
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45160->45182->45178->45172->45174->45180->45177->45176,41134712551314
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45177->45179->45182->45178->45159->45176->45173->45174,1147850717520
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45166->45171->45169->45172->45180->45174->45160->45176,1012706639713
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45173->45172->45162->45169->45159->45180->45160->45174,276294838001
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45160->45172->45171->45179->45180->45159->45177->45176,15413858602868
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45173->45182->45172->45171->45159->45177->45160->45180,222381473133403
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45166->45169->45179->45162->45160->45173->45177->45159,1946668991
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45177->45167->45178->45166->45160->45159->45173->45174,963550327351
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45177->45166->45167->45172->45159->45160->45173->45180,856017583774
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45177->45178->45172->45169->45180->45174->45160->45173,18385184485601
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45173->45171->45169->45178->45180->45160->45177->45176,6163489812291
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45173->45160->45167->45172->45180->45159->45177->45174,20032952376505
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45178->45172->45167->45166->45159->45180->45160->45176,1062893133127
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45160->45172->45178->45177->45180->45174->45173->45176,3079854759282
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45177->45169->45182->45179->45174->45180->45173->45159,844244241102
0-4;1-4;2-4;3-4;4-5;4-6;4-7;7-8,45177->45171->45167->45178->45160->45159->45173->45176,8830134296466
