0-2;1-2;2-3;2-4;4-6;5-6;5-7,45173->45172->45176->45160->45177->45179->45163,20130870171
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45177->45162->45159->45160->45173->45169->45163,24443696740
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45182->45162->45159->45173->45177->45179->45163,10291730800
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45175->45161->45178->45167->45160->45172->45182,6138323283040
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45160->45167->45176->45173->45177->45182->45171,5392783023173
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45175->45161->45181->45167->45160->45173->45159,17172955584
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45161->45175->45166->45167->45160->45179->45169,1002129269
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45173->45182->45180->45177->45160->45169->45162,1517225249392
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45167->45162->45174->45160->45173->45179->45168,14868183
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45173->45179->45180->45160->45177->45166->45181,20192858855
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45166->45169->45180->45173->45177->45160->45159,38566209769
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45168->45170->45169->45164->45182->45167->45165,31031286821
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45175->45161->45166->45170->45169->45160->45177,4059586828
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45160->45182->45159->45173->45177->45167->45161,736151572308
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45175->45161->45181->45170->45162->45169->45163,1452059724
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45160->45162->45176->45177->45173->45179->45163,688616329
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45161->45175->45181->45166->45173->45160->45176,815717690
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45165->45168->45163->45164->45182->45160->45159,6538264978765
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45182->45167->45174->45160->45173->45169->45163,13354513161
0-2;1-2;2-3;2-4;4-6;5-6;5-7,45173->45171->45176->45160->45177->45169->45162,154982017672
