0-1;0-2;1-3;3-2,1052638->1052637->1052652->1052611,404
0-1;0-2;1-3;3-2,1052624->1052574->1052595->1052637,980
0-1;0-2;1-3;3-2,1052624->1052574->1052595->1052641,46
0-1;0-2;1-3;3-2,1052638->1052637->1052652->1052585,1443
0-1;0-2;1-3;3-2,1052608->1052600->1052642->1052600,1058
0-1;0-2;1-3;3-2,1052638->1052638->1052644->1052644,869
0-1;0-2;1-3;3-2,1052638->1052638->1052651->1052644,1250
0-1;0-2;1-3;3-2,1052638->1052638->1052644->1052651,2305
0-1;0-2;1-3;3-2,1052638->1052638->1052651->1052651,3030
0-1;0-2;1-3;3-2,1052644->1052649->1052651->1052650,40711
0-1;0-2;1-3;3-2,1052644->1052644->1052644->1052651,2775565
