0-1;0-2;1-2;1-3;2-3,1052608->1052608->1052644->1052584->1052584,27
0-1;0-2;1-2;1-3;2-3,1052608->1052593->1052644->1052584->1052584,87
0-1;0-2;1-2;1-3;2-3,1052644->1052644->1052644->1052584->1052584,98480
0-1;0-2;1-2;1-3;2-3,1052651->1052651->1052651->1052584->1052584,127250
0-1;0-2;1-2;1-3;2-3,1052651->1052651->1052644->1052584->1052584,114895
0-1;0-2;1-2;1-3;2-3,1052644->1052651->1052651->1052584->1052584,41742
0-1;0-2;1-2;1-3;2-3,1052644->1052644->1052644->1052648->1052648,5009
0-1;0-2;1-2;1-3;2-3,1052651->1052644->1052651->1052645->1052645,15150
0-1;0-2;1-2;1-3;2-3,1052608->1052608->1052651->1052584->1052584,111
0-1;0-2;1-2;1-3;2-3,1052644->1052644->1052651->1052645->1052645,19617
0-1;0-2;1-2;1-3;2-3,1052651->1052644->1052651->1052584->1052584,41233
0-1;0-2;1-2;1-3;2-3,1052651->1052644->1052644->1052584->1052584,54294
0-1;0-2;1-2;1-3;2-3,1052608->1052608->1052651->1052651->1052644,7
0-1;0-2;1-2;1-3;2-3,1052608->1052593->1052651->1052584->1052584,6
0-1;0-2;1-2;1-3;2-3,1052644->1052651->1052644->1052584->1052584,44295
0-1;0-2;1-2;1-3;2-3,1052644->1052644->1052651->1052584->1052584,80863
0-1;0-2;1-2;1-3;2-3,1052651->1052651->1052651->1052645->1052645,58304
0-1;0-2;1-2;1-3;2-3,1052593->1052608->1052651->1052584->1052584,11
