0-1;1-3;2-3;2-4;4-6;5-6;6-7,17->22->24->18->5->21->23,11424502
0-1;1-3;2-3;2-4;4-6;5-6;6-7,9->21->5->2->16->19->17,11318267783
0-1;1-3;2-3;2-4;4-6;5-6;6-7,19->22->24->17->25->12->21,1029527
0-1;1-3;2-3;2-4;4-6;5-6;6-7,9->13->2->12->26->21->24,508864
0-1;1-3;2-3;2-4;4-6;5-6;6-7,17->21->5->8->1->25->20,398760784
0-1;1-3;2-3;2-4;4-6;5-6;6-7,16->1->25->9->21->5->2,43666094
0-1;1-3;2-3;2-4;4-6;5-6;6-7,9->2->13->8->17->16->1,22284689498
0-1;1-3;2-3;2-4;4-6;5-6;6-7,17->22->24->18->21->5->8,5712251
0-1;1-3;2-3;2-4;4-6;5-6;6-7,17->5->21->8->1->25->22,797521568
0-1;1-3;2-3;2-4;4-6;5-6;6-7,26->21->5->2->1->25->20,22967327
0-1;1-3;2-3;2-4;4-6;5-6;6-7,17->25->1->9->5->21->8,48960731
0-1;1-3;2-3;2-4;4-6;5-6;6-7,5->1->25->21->17->16->3,7047546278
0-1;1-3;2-3;2-4;4-6;5-6;6-7,21->24->22->9->1->12->20,8465455
0-1;1-3;2-3;2-4;4-6;5-6;6-7,19->24->22->8->17->16->1,22530487472
0-1;1-3;2-3;2-4;4-6;5-6;6-7,17->21->5->9->19->16->8,777138117
0-1;1-3;2-3;2-4;4-6;5-6;6-7,9->3->5->21->25->12->22,384546
0-1;1-3;2-3;2-4;4-6;5-6;6-7,16->24->22->17->25->1->26,52614519
0-1;1-3;2-3;2-4;4-6;5-6;6-7,9->13->2->1->21->26->20,631360
0-1;1-3;2-3;2-4;4-6;5-6;6-7,26->25->1->8->17->19->24,72098201262
0-1;1-3;2-3;2-4;4-6;5-6;6-7,26->1->25->8->21->5->22,17326259
