0-1;0-3;2-3;2-5;4-5;4-6;6-7,75892->75923->75925->75935->75906->75900->75889,1753420
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75918->75916->75930->75888->75895->75889->75935,1698315
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75913->75916->75901->75890->75891->75926->75904,1622661
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75889->75921->75897->75898->75890->75930->75919,1590717
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75911->75908->75923->75903->75902->75932->75916,1860100
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75907->75920->75906->75928->75900->75936->75898,1659350
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75931->75912->75913->75904->75935->75937->75895,1474074
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75888->75911->75928->75893->75927->75925->75924,1728880
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75892->75925->75934->75913->75888->75933->75911,1593857
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75915->75889->75927->75917->75919->75921->75909,1727805
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75930->75903->75908->75925->75902->75935->75927,1822232
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75919->75913->75925->75911->75903->75904->75923,1728144
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75916->75898->75902->75889->75926->75904->75900,1775795
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75916->75921->75912->75903->75928->75925->75927,1752329
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75929->75898->75911->75889->75934->75917->75922,1733777
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75892->75903->75910->75894->75896->75889->75909,1760723
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75935->75929->75934->75890->75917->75913->75937,1510573
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75899->75912->75893->75930->75898->75918->75896,1877500
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75920->75931->75922->75905->75913->75910->75911,1524759
0-1;0-3;2-3;2-5;4-5;4-6;6-7,75908->75909->75934->75897->75923->75888->75890,1465683
