0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75903->75937->75913->75912->75905->75893->75904->75934,2930565
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75908->75897->75900->75901->75931->75929->75936->75903,3371489
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75901->75922->75932->75906->75916->75921->75912->75926,3787269
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75934->75890->75891->75911->75902->75930->75896->75918,3738375
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75914->75931->75912->75898->75935->75913->75926->75925,3745956
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75897->75891->75901->75898->75933->75911->75903->75895,3077381
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75906->75901->75895->75897->75893->75911->75922->75903,3341655
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75914->75898->75907->75891->75910->75926->75915->75933,3336426
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75897->75905->75932->75934->75889->75892->75912->75904,2967969
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75905->75897->75912->75926->75908->75928->75888->75901,3083238
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75920->75917->75934->75935->75902->75908->75921->75892,3409553
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75888->75926->75920->75930->75935->75907->75925->75915,4036167
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75893->75924->75916->75930->75929->75921->75889->75915,3352656
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75918->75925->75917->75909->75899->75905->75892->75889,3545393
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75908->75911->75900->75928->75920->75929->75922->75888,3401292
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75897->75901->75935->75889->75907->75928->75891->75926,3166185
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75890->75888->75910->75921->75898->75925->75936->75909,4159045
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75921->75934->75906->75931->75893->75898->75912->75913,3228806
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75928->75922->75920->75914->75921->75933->75899->75906,3307412
0-1;0-3;2-3;2-5;4-5;4-6;6-7;7-8,75895->75891->75916->75893->75904->75925->75922->75935,3363682
