0-1;0-2;0-3;3-4;4-5;4-6,75905->75929->75926->75934->75936->75937,1707949
0-1;0-2;0-3;3-4;4-5;4-6,75914->75902->75930->75923->75895->75937,2117594
0-1;0-2;0-3;3-4;4-5;4-6,75932->75920->75933->75910->75934->75904,3656207
0-1;0-2;0-3;3-4;4-5;4-6,75894->75912->75926->75920->75921->75897,2007935
0-1;0-2;0-3;3-4;4-5;4-6,75899->75935->75917->75894->75920->75902,6080369
0-1;0-2;0-3;3-4;4-5;4-6,75914->75915->75912->75907->75917->75916,2215118
0-1;0-2;0-3;3-4;4-5;4-6,75898->75914->75931->75912->75926->75933,6226486
0-1;0-2;0-3;3-4;4-5;4-6,75936->75916->75935->75907->75899->75889,6296202
0-1;0-2;0-3;3-4;4-5;4-6,75904->75935->75937->75909->75899->75925,2705828
0-1;0-2;0-3;3-4;4-5;4-6,75908->75893->75912->75919->75930->75916,4462869
0-1;0-2;0-3;3-4;4-5;4-6,75889->75915->75937->75935->75928->75904,1852482
0-1;0-2;0-3;3-4;4-5;4-6,75904->75909->75930->75894->75925->75927,2067279
0-1;0-2;0-3;3-4;4-5;4-6,75890->75911->75901->75904->75895->75925,3175881
0-1;0-2;0-3;3-4;4-5;4-6,75896->75934->75913->75927->75923->75895,1613627
0-1;0-2;0-3;3-4;4-5;4-6,75900->75937->75933->75891->75919->75903,3711977
0-1;0-2;0-3;3-4;4-5;4-6,75920->75893->75890->75891->75914->75911,3881299
0-1;0-2;0-3;3-4;4-5;4-6,75916->75920->75921->75929->75930->75900,3513764
0-1;0-2;0-3;3-4;4-5;4-6,75918->75925->75905->75903->75893->75921,4831694
0-1;0-2;0-3;3-4;4-5;4-6,75931->75901->75932->75906->75937->75922,4590500
0-1;0-2;0-3;3-4;4-5;4-6,75918->75913->75904->75892->75927->75908,3606728
