0-1;2-1;3-2;3-4;4-5;5-6,1->0->2->2->5->17,48126
1-0;1-2;3-2;3-4;5-4;6-5,17->5->5->17->17->17,98
1-0;1-2;3-2;3-4;5-4,2->2->2->2->2,2124368
1-0;1-2;3-2;3-4;4-5;6-5,29->31->36->36->31->36,12
0-1;2-1;3-2;4-3;5-4;5-6,1->0->2->6->2->2,1
1-0;1-2;3-2;3-4;4-5;6-5,4->21->21->5->17->17,156
1-0;2-1;2-3;4-3;4-5;6-5,5->23->55->31->31->50,13544
1-0;1-2;3-2;4-3;4-5;6-5,2->2->5->54->21->5,19239
0-1;2-1;2-3;4-3;5-4;5-6,0->3->50->50->17->55,146
1-0;1-2;3-2;3-4;4-5,2->2->2->2->4,4129
1-0;2-1;2-3;4-3;4-5;6-5,2->6->11->25->35->36,331
1-0;1-2;2-3;3-4;4-5;5-6,2->2->5->17->17->17,13223
1-0;1-2;3-2;3-4;4-5;6-5,21->21->21->58->21->5,7258
1-0;1-2;3-2;3-4;5-4;5-6,5->5->17->5->21->21,171
1-0;1-2;3-2;3-4;5-4;5-6,2->2->46->22->23->5,3
1-0;1-2;3-2;4-3;4-5;6-5,5->13->13->17->35->35,1
1-0;1-2;3-2;3-4;4-5;6-5,17->36->36->58->17->46,795
0-1;2-1;2-3;4-3;4-5;5-6,46->46->35->35->17->48,41936
1-0;1-2;3-2;3-4;5-4;5-6,2->2->2->2->5->58,2124
0-1;2-1;2-3;4-3;4-5;5-6,26->25->50->35->54->35,5098
1-0;1-2;3-2;3-4;4-5;5-6,2->2->2->2->17->17,36673
0-1;2-1;2-3;4-3;4-5;5-6,0->0->31->39->12->46,178
0-1;2-1;3-2;3-4;4-5,8->25->2->2->6,85400
1-0;1-2;3-2;3-4;5-4;5-6,2->2->58->22->13->36,103
1-0;1-2;3-2;3-4;5-4;5-6,2->2->2->2->17->17,55534
1-0;1-2;2-3;3-4;5-4;5-6,5->58->54->5->5->22,2006
0-1;2-1;2-3;4-3;5-4;5-6,0->3->0->28->22->22,56
1-0;2-1;2-3;3-4;5-4;6-5,5->37->54->25->8->2,3960
1-0;1-2;3-2;3-4;5-4;5-6,2->2->2->2->5->21,305508
1-0;1-2;2-3;4-3;5-4;5-6,2->2->0->0->5->12,232611
1-0;1-2;2-3;4-3;4-5;6-5,2->2->23->5->5->13,3423
1-0;1-2;3-2;4-3;4-5;6-5,2->2->65->17->17->17,46
1-0;1-2;2-3;4-3;4-5;5-6,2->2->0->0->31->29,860304
1-0;1-2;3-2;3-4;4-5;6-5,2->2->5->58->23->23,235081
0-1;2-1;2-3;3-4;5-4;5-6,25->8->4->4->46->36,6187
0-1;2-1;2-3;4-3;4-5,0->3->25->8->39,9036386
0-1;2-1;2-3;4-3;4-5,11->25->21->22->22,7029704
1-0;1-2;3-2;4-3;4-5;6-5,2->2->57->5->12->17,3624
1-0;1-2;3-2;3-4;5-4;5-6,46->17->46->36->36->36,122668
1-0;1-2;3-2;3-4;5-4;5-6,54->5->22->22->5->5,315173
0-1;2-1;2-3;4-3;5-4;6-5,36->36->5->5->54->54,520732
0-1;2-1;2-3;4-3;4-5;5-6,0->3->35->36->12->46,195032
1-0;1-2;2-3;4-3;5-4;5-6,2->2->50->50->54->50,5505
1-0;1-2;3-2;4-3;4-5;5-6,2->2->5->46->55->81,11
0-1;2-1;3-2;4-3;4-5;6-5,6->6->13->54->36->50,1840
1-0;1-2;3-2;4-3;4-5;6-5,17->17->17->5->39->35,292684
1-0;1-2;3-2;3-4;5-4;6-5,13->13->5->36->35->17,145214
1-0;1-2;2-3;4-3;4-5;6-5,2->2->22->13->13->5,122766
1-0;1-2;3-2;3-4;5-4;6-5,2->2->2->2->36->17,4229
1-0;1-2;3-2;4-3;4-5;5-6,2->2->21->54->58->4,25
1-0;1-2;2-3;4-3;4-5;5-6,5->4->22->22->23->11,33
1-0;1-2;3-2;3-4;4-5;6-5,2->2->2->2->29->12,4
0-1;2-1;3-2;3-4;5-4;5-6,21->5->58->50->50->39,3
0-1;2-1;2-3;4-3;4-5;6-5,0->0->5->22->22->66,17
0-1;2-1;3-2;3-4;4-5;6-5,17->17->5->54->5->13,1877
1-0;2-1;2-3;3-4;5-4;5-6,2->6->6->2->2->2,1
0-1;1-2;3-2;3-4;5-4;6-5,17->5->5->21->22->58,1
1-0;2-1;3-2;3-4;4-5;5-6,29->35->54->54->54->5,8488
0-1;1-2;2-3;3-4;5-4;5-6,46->54->54->5->13->12,4
0-1;2-1;3-2;4-3;4-5;6-5,23->22->4->58->23->23,161
0-1;2-1;2-3;3-4;4-5;6-5,46->46->58->4->4->4,291
1-0;1-2;2-3;4-3;4-5;6-5,2->2->36->36->43->43,371847
1-0;1-2;3-2;4-3;5-4;5-6,2->2->21->54->54->21,613
1-0;1-2;3-2;3-4;5-4;5-6,2->2->2->2->21->21,940166
0-1;1-2;3-2;3-4;5-4;5-6,17->17->17->5->13->13,170
1-0;1-2;3-2;3-4;5-4;5-6,2->2->2->2->13->39,115
0-1;2-1;2-3;3-4;4-5;6-5,5->12->17->46->36->31,190
1-0;1-2;2-3;4-3;5-4;5-6,2->2->22->13->46->53,4
1-0;1-2;2-3;4-3;5-4;5-6,2->2->0->3->46->46,84765
1-0;1-2;3-2;4-3;4-5;6-5,2->2->46->17->17->17,18624
0-1;2-1;3-2;3-4;5-4;5-6,0->0->54->13->5->54,90910
1-0;1-2;2-3;4-3;5-4;5-6,2->2->57->57->21->44,29337
0-1;2-1;2-3;4-3;5-4;5-6,0->3->36->31->50->46,85781
1-0;1-2;3-2;3-4;5-4;5-6,2->2->2->2->5->23,34421
