0-1;0-2;1-2;1-3;2-3,75937->75930->75932->75909->75910,2
0-1;0-2;1-2;1-3;2-3,75928->75924->75893->75899->75930,1
0-1;0-2;1-2;1-3;2-3,75895->75900->75923->75921->75919,1
0-1;0-2;1-2;1-3;2-3,75918->75934->75915->75898->75888,1
0-1;0-2;1-2;1-3;2-3,75906->75892->75925->75937->75937,1
0-1;0-2;1-2;1-3;2-3,75930->75917->75914->75927->75888,1
0-1;0-2;1-2;1-3;2-3,75916->75923->75911->75922->75937,1
0-1;0-2;1-2;1-3;2-3,75924->75934->75927->75937->75908,1
0-1;0-2;1-2;1-3;2-3,75913->75928->75900->75892->75912,3
0-1;0-2;1-2;1-3;2-3,75895->75920->75890->75931->75926,1
0-1;0-2;1-2;1-3;2-3,75890->75918->75924->75915->75902,1
0-1;0-2;1-2;1-3;2-3,75926->75891->75896->75890->75911,2
0-1;0-2;1-2;1-3;2-3,75899->75895->75892->75910->75912,2
0-1;0-2;1-2;1-3;2-3,75899->75937->75928->75926->75926,1
0-1;0-2;1-2;1-3;2-3,75889->75916->75931->75910->75918,1
0-1;0-2;1-2;1-3;2-3,75915->75917->75928->75892->75895,1
0-1;0-2;1-2;1-3;2-3,75908->75899->75933->75908->75908,3
0-1;0-2;1-2;1-3;2-3,75906->75908->75937->75905->75921,1
0-1;0-2;1-2;1-3;2-3,75921->75912->75907->75934->75899,2
0-1;0-2;1-2;1-3;2-3,75911->75915->75935->75930->75913,1
0-1;0-2;1-2;1-3;2-3,75893->75912->75913->75891->75898,1
0-1;0-2;1-2;1-3;2-3,75895->75888->75890->75931->75910,1
0-1;0-2;1-2;1-3;2-3,75906->75902->75927->75924->75903,1
0-1;0-2;1-2;1-3;2-3,75934->75922->75909->75937->75906,2
0-1;0-2;1-2;1-3;2-3,75894->75889->75927->75900->75898,2
0-1;0-2;1-2;1-3;2-3,75891->75936->75926->75906->75905,1
0-1;0-2;1-2;1-3;2-3,75888->75890->75916->75913->75927,1
0-1;0-2;1-2;1-3;2-3,75905->75918->75895->75930->75914,1
0-1;0-2;1-2;1-3;2-3,75919->75937->75934->75936->75894,1
0-1;0-2;1-2;1-3;2-3,75916->75897->75926->75906->75930,2
0-1;0-2;1-2;1-3;2-3,75897->75909->75934->75904->75889,1
0-1;0-2;1-2;1-3;2-3,75916->75922->75933->75936->75908,2
0-1;0-2;1-2;1-3;2-3,75930->75891->75900->75888->75898,1
0-1;0-2;1-2;1-3;2-3,75904->75926->75928->75936->75933,1
0-1;0-2;1-2;1-3;2-3,75930->75905->75922->75904->75925,1
0-1;0-2;1-2;1-3;2-3,75900->75917->75918->75911->75934,1
0-1;0-2;1-2;1-3;2-3,75922->75927->75922->75892->75933,1
0-1;0-2;1-2;1-3;2-3,75914->75902->75906->75925->75891,2
0-1;0-2;1-2;1-3;2-3,75927->75926->75899->75915->75894,1
0-1;0-2;1-2;1-3;2-3,75890->75902->75888->75919->75902,1
0-1;0-2;1-2;1-3;2-3,75895->75925->75900->75917->75932,1
0-1;0-2;1-2;1-3;2-3,75906->75927->75902->75913->75918,1
0-1;0-2;1-2;1-3;2-3,75896->75902->75889->75894->75913,2
0-1;0-2;1-2;1-3;2-3,75929->75904->75901->75923->75936,1
0-1;0-2;1-2;1-3;2-3,75889->75937->75917->75912->75908,3
0-1;0-2;1-2;1-3;2-3,75913->75910->75890->75916->75891,2
0-1;0-2;1-2;1-3;2-3,75919->75894->75913->75926->75896,2
0-1;0-2;1-2;1-3;2-3,75918->75903->75889->75931->75925,1
0-1;0-2;1-2;1-3;2-3,75888->75901->75904->75904->75932,1
0-1;0-2;1-2;1-3;2-3,75918->75917->75928->75923->75915,1
0-1;0-2;1-2;1-3;2-3,75891->75896->75891->75906->75901,1
