0-1;0-2;1-3;3-2,75937->75937->75927->75937,489
0-1;0-2;1-3;3-2,75928->75928->75924->75918,145
0-1;0-2;1-3;3-2,75917->75917->75895->75917,454
0-1;0-2;1-3;3-2,75899->75899->75911->75911,281
0-1;0-2;1-3;3-2,75925->75925->75933->75934,250
0-1;0-2;1-3;3-2,75911->75911->75890->75905,201
0-1;0-2;1-3;3-2,75915->75915->75911->75922,198
0-1;0-2;1-3;3-2,75889->75889->75912->75929,204
0-1;0-2;1-3;3-2,75914->75914->75929->75920,185
0-1;0-2;1-3;3-2,75891->75891->75904->75904,231
0-1;0-2;1-3;3-2,75910->75910->75899->75891,163
0-1;0-2;1-3;3-2,75926->75926->75913->75926,390
0-1;0-2;1-3;3-2,75899->75899->75890->75907,228
0-1;0-2;1-3;3-2,75899->75899->75935->75898,253
0-1;0-2;1-3;3-2,75920->75920->75927->75935,215
0-1;0-2;1-3;3-2,75915->75915->75892->75917,205
0-1;0-2;1-3;3-2,75908->75908->75908->75930,218
0-1;0-2;1-3;3-2,75933->75933->75899->75914,261
0-1;0-2;1-3;3-2,75899->75899->75907->75896,229
0-1;0-2;1-3;3-2,75926->75926->75923->75927,201
0-1;0-2;1-3;3-2,75910->75910->75927->75897,274
0-1;0-2;1-3;3-2,75903->75903->75916->75909,252
0-1;0-2;1-3;3-2,75902->75924->75928->75933,33
0-1;0-2;1-3;3-2,75934->75934->75919->75893,156
0-1;0-2;1-3;3-2,75915->75915->75914->75915,559
0-1;0-2;1-3;3-2,75891->75891->75903->75907,215
0-1;0-2;1-3;3-2,75895->75895->75922->75920,182
0-1;0-2;1-3;3-2,75919->75919->75935->75892,186
0-1;0-2;1-3;3-2,75935->75935->75922->75935,732
0-1;0-2;1-3;3-2,75928->75928->75895->75911,197
0-1;0-2;1-3;3-2,75931->75931->75888->75925,233
0-1;0-2;1-3;3-2,75933->75933->75930->75933,406
0-1;0-2;1-3;3-2,75920->75920->75906->75920,446
0-1;0-2;1-3;3-2,75924->75924->75922->75937,184
0-1;0-2;1-3;3-2,75904->75904->75909->75904,475
0-1;0-2;1-3;3-2,75922->75922->75936->75903,217
0-1;0-2;1-3;3-2,75917->75917->75914->75934,252
0-1;0-2;1-3;3-2,75914->75914->75908->75897,286
0-1;0-2;1-3;3-2,75935->75935->75929->75908,186
0-1;0-2;1-3;3-2,75908->75908->75918->75908,494
0-1;0-2;1-3;3-2,75900->75900->75889->75898,252
0-1;0-2;1-3;3-2,75893->75893->75934->75893,529
0-1;0-2;1-3;3-2,75896->75896->75907->75932,193
0-1;0-2;1-3;3-2,75903->75903->75924->75903,397
0-1;0-2;1-3;3-2,75891->75891->75918->75892,156
0-1;0-2;1-3;3-2,75910->75910->75897->75921,201
0-1;0-2;1-3;3-2,75893->75893->75897->75919,173
0-1;0-2;1-3;3-2,75892->75892->75928->75902,235
0-1;0-2;1-3;3-2,75931->75931->75891->75904,176
0-1;0-2;1-3;3-2,75935->75935->75937->75901,200
0-1;0-2;1-3;3-2,75891->75891->75891->75932,220
