0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052648->1052649->1052646->1052643->1052645->1052629->1052642,11733
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052645->1052643->1052650->1052651->1052654->1052648->1052644,6368785
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052642->1052644->1052643->1052649->1052629->1052650->1052646,1255751
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052645->1052646->1052649->1052631->1052650->1052654->1052629,151
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052584->1052647->1052646->1052651->1052644->1052642->1052629,19486534
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052648->1052647->1052650->1052642->1052629->1052649->1052643,9378
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052649->1052584->1052644->1052629->1052650->1052643->1052645,1374890
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052650->1052584->1052643->1052646->1052649->1052629->1052644,923338
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052643->1052655->1052649->1052629->1052647->1052644->1052645,400170
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052586->1052629->1052643->1052584->1052644->1052648->1052651,3665166
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052584->1052629->1052646->1052650->1052645->1052652->1052643,18955
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052583->1052598->1052582->1052596->1052620->1052602->1052581,457
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052649->1052643->1052653->1052629->1052644->1052651->1052645,2575488
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052654->1052649->1052584->1052648->1052643->1052644->1052629,233986
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052651->1052645->1052629->1052584->1052643->1052650->1052649,1892808
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052629->1052650->1052648->1052654->1052643->1052649->1052584,6963
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052651->1052650->1052645->1052643->1052644->1052642->1052646,39891620
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052584->1052581->1052611->1052586->1052610->1052589->1052582,61
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052590->1052581->1052589->1052615->1052582->1052591->1052595,956
0-1;0-2;0-3;0-4;0-5;0-6;0-7,1052647->1052650->1052649->1052648->1052646->1052645->1052643,1634
