0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052573->1052652->1052589->1052588->1052581->1052583->1052582->1052584,14610
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052573->1052624->1052595->1052581->1052587->1052606->1052584->1052582,3507079
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052638->1052644->1052654->1052648->1052631->1052584->1052642->1052643,45769
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052573->1052652->1052595->1052590->1052586->1052589->1052597->1052582,5643
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052638->1052651->1052584->1052646->1052629->1052644->1052649->1052643,70856545
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052644->1052651->1052649->1052643->1052650->1052584->1052655->1052645,178516440
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052593->1052644->1052649->1052584->1052645->1052650->1052646->1052651,68052801
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052638->1052651->1052584->1052646->1052629->1052647->1052648->1052653,14248
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052624->1052652->1052589->1052585->1052582->1052584->1052593->1052600,16748
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052619->1052651->1052650->1052645->1052649->1052629->1052643->1052644,811124
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052624->1052573->1052581->1052585->1052584->1052586->1052595->1052587,2040673
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052624->1052573->1052584->1052590->1052583->1052595->1052589->1052581,1193824
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052624->1052573->1052586->1052583->1052602->1052584->1052598->1052601,3281
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052652->1052624->1052584->1052589->1052590->1052582->1052586->1052609,129
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052638->1052651->1052643->1052648->1052645->1052649->1052644->1052650,45524789
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052624->1052573->1052590->1052583->1052598->1052582->1052587->1052584,37866
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052624->1052573->1052618->1052603->1052584->1052595->1052582->1052606,100711
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052638->1052644->1052652->1052651->1052643->1052648->1052584->1052646,47868926
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052638->1052608->1052648->1052584->1052649->1052629->1052650->1052643,7996
0-2;1-2;2-3;2-4;2-5;2-6;2-7;2-8,1052624->1052573->1052614->1052613->1052621->1052585->1052611->1052584,288
